"channel","total_spend","roas_30d","new_total_spend","exp_rev_before","exp_rev_after","incr_rev"
paid_search_spend,2406437.76,4.740681,2526204.08,11408154.71,11975928.65,567773.95
email_spend,398603.41,4.740059,518369.73,1889403.59,2457102.97,567699.38
display_spend,1195037.44,4.739774,1195037.44,5664207.81,5664207.81,0.0
paid_social_spend,2003083.27,4.739278,2003083.27,9493167.78,9493167.78,0.0
tv_spend,1594724.74,4.736734,1435252.27,7553786.18,6798407.56,-755378.62
affiliate_spend,800601.59,4.735293,720541.43,3791083.0,3411974.7,-379108.3
